number,location,monthly_price,house_area,house_age,walk_from_station,direction_of_house,direction_jp
1,市川市真間,60000,23.2,19,7,3.0,南
2,市川市新田,77000,23.2,16,2,2.7,南東
3,市川市真間,60000,32.1,19,10,3.0,南
4,市川市新田,62000,18.0,14,11,2.7,南東
5,市川市市川南,64000,21.1,0,2,2.3,東
6,市川市菅野,51000,15.8,21,12,3.0,南
7,市川市菅野,43000,14.6,16,12,3.0,南
8,市川市真間,59000,17.4,18,6,2.5,南西
9,市川市新田,55000,19.8,16,10,3.0,南
10,市川市新田,51000,17.0,18,6,3.0,南
11,市川市新田,74000,19.9,5,8,3.0,南
12,市川市菅野,47000,21.0,18,13,2.5,南西
13,市川市新田,58000,18.0,42,11,2.7,南東
14,市川市新田,72000,20.7,0,2,2.7,南東
15,市川市市川南,69000,27.0,15,4,3.0,南
16,市川市大洲,52000,17.0,17,13,3.0,南
17,市川市新田,73000,24.9,4,4,2.0,西
18,市川市新田,50000,23.0,39,5,3.0,南
19,市川市大洲,56000,23.1,17,15,2.3,東
20,市川市新田,36000,18.0,34,8,2.3,東
21,市川市新田,63000,17.4,14,10,3.0,南
22,市川市新田,64000,22.0,14,5,3.0,南
23,市川市新田,70000,31.5,28,8,3.0,南
24,市川市大洲,55000,22.8,23,15,3.0,南
25,市川市菅野,55500,14.8,19,15,2.3,東
26,市川市新田,57000,19.0,19,10,3.0,南
27,市川市新田,71000,28.7,0,5,2.5,南西
28,市川市新田,66000,28.0,18,8,2.7,南東
29,市川市菅野,50000,18.0,19,15,3.0,南
30,市川市市川南,55500,14.8,20,6,2.0,西
31,市川市大洲,59000,19.8,16,15,2.3,東
32,市川市市川南,55000,16.5,15,8,3.0,南
33,市川市真間,67000,28.4,12,7,3.0,南
34,市川市須和田,70000,24.4,16,15,2.5,南西
35,市川市市川南,61000,23.0,22,2,2.3,東
36,市川市新田,70000,22.0,0,5,2.5,南西
37,市川市新田,72000,22.7,34,2,2.7,南東
38,市川市市川南,49000,16.0,20,7,3.0,南
39,市川市新田,59000,19.0,14,10,3.0,南
40,市川市市川南,56000,18.0,18,3,2.7,南東
41,市川市市川,35000,17.0,31,15,3.0,南
42,市川市大洲,54500,20.3,18,10,2.0,西
43,市川市市川南,63000,24.0,23,3,2.7,南東
44,市川市新田,65000,19.8,17,10,3.0,南
45,市川市市川南,48000,27.0,27,5,3.0,南
46,市川市菅野,56500,14.8,19,15,2.3,東
47,市川市菅野,54500,15.9,18,15,3.0,南
48,市川市市川,55000,19.0,22,6,2.5,南西
49,市川市新田,71000,22.0,3,7,2.3,東
50,市川市新田,72000,23.1,16,3,2.7,南東
51,市川市大洲,54500,17.8,18,10,2.3,東
52,市川市真間,67000,30.8,19,10,3.0,南
53,市川市市川南,56000,19.0,18,10,2.7,南東
54,市川市大町,55500,15.7,19,10,2.3,東
55,市川市新田,50000,14.9,17,10,1.5,北東
56,市川市市川,52000,20.7,22,7,3.0,南
57,市川市市川南,61500,28.9,23,4,3.0,南
58,市川市新田,77000,23.1,16,3,2.7,南東
59,市川市真間,56000,19.0,18,9,3.0,南
60,市川市市川南,46000,14.0,19,8,3.0,南
61,市川市市川南,58000,21.0,21,10,2.5,南西
62,市川市真間,62000,20.3,9,10,2.0,西
63,市川市市川南,64500,18.0,4,8,2.0,西
64,市川市市川南,70000,20.4,13,5,3.0,南
65,市川市大洲,57000,18.0,15,13,3.0,南
66,市川市新田,65000,20.0,18,10,3.0,南
67,市川市新田,77000,25.7,0,5,3.0,南
68,市川市市川南,60000,24.3,20,5,2.7,南東
69,市川市新田,55000,16.5,19,12,3.0,南
70,市川市市川南,39000,21.0,36,7,3.0,南
71,市川市大洲,65000,28.9,12,10,2.7,南東
72,市川市新田,65000,23.0,0,13,3.0,南
73,市川市新田,72000,20.7,0,2,2.7,南東
74,市川市新田,76000,25.7,0,5,3.0,南
75,市川市新田,72000,23.1,14,3,2.3,東
76,市川市市川南,66000,19.9,11,2,3.0,南
77,市川市新田,63000,19.4,15,10,3.0,南
78,市川市新田,57000,18.5,16,13,3.0,南
79,市川市新田,63000,19.8,16,10,3.0,南
80,市川市菅野,50500,14.8,18,15,2.3,東
81,市川市市川,35000,17.0,31,15,3.0,南
82,市川市市川南,55000,16.0,18,2,3.0,南
83,市川市菅野,53000,15.8,21,12,3.0,南
84,市川市新田,54000,20.0,19,2,2.7,南東
85,市川市新田,67000,20.7,0,2,2.7,南東
86,市川市平田,52000,23.0,23,15,2.7,南東
87,市川市新田,72000,20.7,0,2,2.7,南東
88,市川市大洲,45000,14.0,19,10,2.5,南西
89,市川市市川南,61000,18.3,18,2,3.0,南
90,市川市新田,42000,24.0,31,9,2.3,東
91,市川市大洲,57000,21.7,18,12,3.0,南
92,市川市真間,47000,22.4,37,10,3.0,南
93,市川市市川南,59000,18.0,18,2,1.5,北東
94,市川市菅野,63000,20.0,14,15,3.0,南
95,市川市真間,64000,26.4,11,10,2.5,南西
96,市川市市川,51000,20.5,20,2,3.0,南
97,市川市市川南,63000,18.0,11,2,3.0,南
98,市川市真間,56000,18.0,19,8,2.3,東
99,市川市市川南,59000,20.0,14,7,3.0,南
100,市川市新田,59000,17.4,14,10,3.0,南
101,市川市大洲,61000,19.5,13,11,3.0,南
102,市川市市川南,51000,14.9,24,2,2.0,西
103,市川市新田,66000,27.7,2,10,2.5,南西
104,市川市新田,77000,22.7,34,2,2.7,南東
105,市川市大和田,65000,30.5,23,15,3.0,南
106,市川市新田,57000,19.6,14,10,2.7,南東
107,市川市大洲,59000,24.0,13,12,3.0,南
108,市川市市川南,62000,19.5,18,2,2.3,東
109,市川市菅野,53000,21.0,17,13,2.0,西
110,市川市新田,72000,22.8,0,5,2.5,南西
111,市川市新田,63000,26.0,28,10,3.0,南
112,市川市菅野,67000,24.8,14,11,3.0,南
113,市川市新田,56000,19.8,16,10,3.0,南
114,市川市大洲,45000,14.5,19,10,3.0,南
115,市川市市川南,61000,29.7,22,9,3.0,南
116,市川市市川南,55000,22.0,22,7,3.0,南
117,市川市新田,59000,17.4,14,10,3.0,南
118,市川市市川南,61000,20.2,18,5,2.5,南西
119,市川市真間,69000,23.8,5,15,3.0,南
120,市川市菅野,52000,14.9,19,15,3.0,南
121,市川市真間,56000,17.3,23,8,2.5,南西
122,市川市新田,65000,19.8,16,11,3.0,南
123,市川市市川南,59000,18.5,16,9,2.0,西
124,市川市市川,64000,23.7,2,13,3.0,南
125,市川市市川,60000,20.3,16,4,3.0,南
126,市川市真間,58000,20.1,18,5,2.7,南東
127,市川市市川南,59000,33.0,25,5,2.7,南東
128,市川市新田,65000,19.4,16,10,3.0,南
129,市川市新田,82000,30.2,0,8,3.0,南
130,市川市市川南,60000,20.7,24,6,2.3,東
131,市川市新田,50000,20.2,27,13,2.7,南東
132,市川市市川南,55000,21.9,22,6,3.0,南
133,市川市市川南,60000,17.4,16,4,2.3,東
134,市川市新田,49000,18.2,17,10,3.0,南
135,市川市大洲,52000,23.1,38,14,2.7,南東
136,市川市新田,53000,16.5,19,12,3.0,南
137,市川市真間,53000,25.0,26,7,3.0,南
138,市川市真間,55000,17.4,16,10,2.0,西
139,市川市真間,68000,25.3,12,13,3.0,南
140,市川市市川,50000,20.7,22,8,3.0,南
141,市川市菅野,48000,24.0,20,13,2.0,西
142,市川市新田,49000,14.9,17,10,3.0,南
143,市川市真間,50000,17.0,17,15,3.0,南
144,市川市新田,51000,17.0,20,6,3.0,南
145,市川市市川南,52000,18.2,16,6,1.0,北
146,市川市須和田,72000,28.1,16,15,3.0,南
147,市川市市川南,58000,16.0,13,7,3.0,南
